歌人,底本,青空文庫の図書カードURL
新井洸,"『現代短歌全集　第3巻　大正三年-大正六年』（筑摩書房, 2001 増補版）※「微明」のみ収録",
石川啄木,"『啄木全集』第1巻 （筑摩書房, 1967-1968）",
伊藤左千夫,"『左千夫全集』第1巻 （岩波書店, 1976-1977）",
太田水穂," 『太田水穂全集』第1-2巻 （近藤書店, 1957-1959）",
北原白秋,"『白秋全集』第6-12巻 （岩波書店, 1984-1988）",
北原白秋,"『歌集　黒檜』（短歌新聞社, 2002 再版）",
窪田空穂,"『窪田空穂全集』第1-3巻・補巻 （角川書店, 1965-1968）",
古泉千樫,"『定本古泉千樫全歌集』（石川書房, 1993）",
佐佐木信綱,"『現代短歌全集　第2巻　明治四十三年-大正二年』（筑摩書房, 2001 増補版）※「新月」のみ収録、",
佐佐木信綱,"『大和の古文化』（近畿日本鉄道, 1960)",https://www.aozora.gr.jp/cards/001691/card55763.html
斎藤茂吉,"『斎藤茂吉全集』第1-4巻 （岩波書店, 1973-1976）",
島木赤彦,"『赤彦全集』第1巻 （岩波書店,1969-1970） ※1929-30の再版",
釈迢空,"『折口信夫全集』第24巻~25巻（中央公論社, 1997）",
土屋文明,"『土屋文明全歌集』（石川書房, 1993）",
長塚節,"『長塚節全集』第3巻 （春陽堂書店, 1976-1978）",
中村憲吉,"『中村憲吉全集』第1巻 （岩波書店, 1982）",
前田夕暮,"『前田夕暮全集』第1-2巻 （角川書店, 1972-1973）",
正岡子規,"『子規全集』第6巻 （講談社, 1975-1978）",
与謝野晶子,"『定本与謝野晶子全集』第1-7巻 （講談社,1979-1981）",
与謝野鉄幹,"『現代短歌全集　第2巻　明治四十三年-大正二年』（筑摩書房, 2001 増補版）※「相聞」のみ収録",
吉井勇,"『現代短歌全集　第2巻　明治四十三年-大正二年』（筑摩書房, 2001 増補版）※「酒ほがひ」のみ収録",
若山牧水,"『若山牧水全集』第1-13巻・補巻 （増進会出版社, 1992-1993）",
岡本かの子,"『岡本かの子全集9』（筑摩書房, 1994）※「かろきねたみ」のみ収録",https://www.aozora.gr.jp/cards/000076/card57332.html
萩原朔太郎,"『萩原朔太郎全集』第3巻（筑摩書房, 1986 補訂版1刷）※「短歌」のみ収録",https://www.aozora.gr.jp/cards/000067/card2250.html
増田雅子,"『恋衣　名著復刻　詩歌文学館』（日本近代文学館, 1980)",https://www.aozora.gr.jp/cards/000318/card2086.html
山川登美子,"『恋衣　名著復刻　詩歌文学館』（日本近代文学館, 1980)",https://www.aozora.gr.jp/cards/000318/card2086.html
